"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Vegetables","Canned Soup","Seafood","Canned Shrimp","Starchy Foods","Eggs","Plastic Products","Bread","Beer and Wine","Specialty","Fruit","","","","","","",""
"Vegetables","Pain Relievers","Dairy","","","","","","","","","","","","","","",""
"Jams and Jellies","Dairy","Drinks","Snack Foods","Baking Goods","Fruit","","","","","","","","","","","",""
"Side Dishes","Snack Foods","Hardware","","","","","","","","","","","","","","",""
"Candles","Vegetables","Hot Beverages","Snack Foods","","","","","","","","","","","","","",""
"Canned Soup","Baking Goods","Electrical","Jams and Jellies","Vegetables","Carbonated Beverages","","","","","","","","","","","",""
"Cleaning Supplies","Magazines","","","","","","","","","","","","","","","",""
"Miscellaneous","Dairy","Drinks","Baking Goods","Fruit","","","","","","","","","","","","",""
"Eggs","Paper Products","Electrical","Meat","","","","","","","","","","","","","",""
"Magazines","Frozen Entrees","Specialty","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Dairy","Baking Goods","","","","","","","","","","","","","",""
"Jams and Jellies","Hardware","Snack Foods","Candy","Baking Goods","Eggs","Fruit","Beer and Wine","","","","","","","","","",""
"Meat","Bread","Dairy","Vegetables","Snack Foods","Magazines","Paper Products","","","","","","","","","","",""
"Snack Foods","Kitchen Products","","","","","","","","","","","","","","","",""
"Pain Relievers","Vegetables","Pizza","Hot Beverages","Frozen Desserts","Candy","","","","","","","","","","","",""
"Starchy Foods","Bread","Snack Foods","Meat","","","","","","","","","","","","","",""
"Starchy Foods","Dairy","Candy","","","","","","","","","","","","","","",""
"Cleaning Supplies","","","","","","","","","","","","","","","","",""
"Fruit","Snack Foods","Seafood","Jams and Jellies","Paper Products","Breakfast Foods","","","","","","","","","","","",""
"Hot Beverages","Side Dishes","Breakfast Foods","Pain Relievers","Snack Foods","Canned Soup","","","","","","","","","","","",""
"Beer and Wine","Bathroom Products","Candles","Canned Sardines","Hot Beverages","","","","","","","","","","","","",""
"Candy","Snack Foods","","","","","","","","","","","","","","","",""
"Hygiene","Snack Foods","Baking Goods","Fruit","Pizza","","","","","","","","","","","","",""
"Canned Soup","Jams and Jellies","Starchy Foods","Pizza","Breakfast Foods","Vegetables","Meat","","","","","","","","","","",""
"Fruit","Vegetables","Breakfast Foods","Specialty","Canned Soup","Canned Tuna","","","","","","","","","","","",""
"Fruit","Meat","Vegetables","Candy","Carbonated Beverages","Cold Remedies","Beer and Wine","Dairy","","","","","","","","","",""
"Bathroom Products","Meat","Electrical","Snack Foods","Side Dishes","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","","","","","","","","","","","","","","","",""
"Hot Beverages","Vegetables","Hardware","Kitchen Products","Starchy Foods","Snack Foods","","","","","","","","","","","",""
"Canned Oysters","Fruit","Pure Juice Beverages","Meat","Electrical","Bread","","","","","","","","","","","",""
"Pain Relievers","Canned Oysters","Frozen Entrees","Snack Foods","Canned Soup","Vegetables","","","","","","","","","","","",""
"Candy","Frozen Desserts","Snack Foods","Jams and Jellies","","","","","","","","","","","","","",""
"Meat","Bread","Fruit","","","","","","","","","","","","","","",""
"Electrical","","","","","","","","","","","","","","","","",""
"Canned Soup","Hot Beverages","Canned Tuna","Meat","Dairy","Fruit","","","","","","","","","","","",""
"Electrical","Frozen Desserts","Paper Products","Dairy","Canned Soup","Beer and Wine","Hardware","Packaged Vegetables","Jams and Jellies","","","","","","","","",""
"Pure Juice Beverages","Dairy","Vegetables","Jams and Jellies","","","","","","","","","","","","","",""
"Hot Beverages","Snack Foods","Fruit","Paper Products","","","","","","","","","","","","","",""
"Paper Products","Dairy","Frozen Desserts","Snack Foods","Candy","","","","","","","","","","","","",""
"Baking Goods","Breakfast Foods","","","","","","","","","","","","","","","",""
"Vegetables","Fruit","Meat","Bathroom Products","Specialty","","","","","","","","","","","","",""
"Cleaning Supplies","Snack Foods","Eggs","Canned Clams","Beer and Wine","","","","","","","","","","","","",""
"Jams and Jellies","Baking Goods","","","","","","","","","","","","","","","",""
"Paper Products","Meat","Baking Goods","Dairy","","","","","","","","","","","","","",""
"Bread","Baking Goods","","","","","","","","","","","","","","","",""
"Bathroom Products","Snack Foods","Drinks","Meat","","","","","","","","","","","","","",""
"Baking Goods","Candy","","","","","","","","","","","","","","","",""
"Canned Soup","Magazines","Vegetables","","","","","","","","","","","","","","",""
"Baking Goods","Bathroom Products","Snack Foods","Decongestants","Canned Tuna","Fruit","Breakfast Foods","","","","","","","","","","",""
"Jams and Jellies","Pain Relievers","Dairy","Starchy Foods","","","","","","","","","","","","","",""
"Candy","","","","","","","","","","","","","","","","",""
"Electrical","Jams and Jellies","Frozen Desserts","Vegetables","Canned Oysters","","","","","","","","","","","","",""
"Dairy","Canned Tuna","Hot Beverages","Pain Relievers","","","","","","","","","","","","","",""
"Starchy Foods","Frozen Desserts","Vegetables","Snack Foods","Hardware","","","","","","","","","","","","",""
"Breakfast Foods","Baking Goods","Meat","Decongestants","","","","","","","","","","","","","",""
"Dairy","Breakfast Foods","","","","","","","","","","","","","","","",""
"Paper Products","Snack Foods","Fruit","Plastic Products","Beer and Wine","Dairy","","","","","","","","","","","",""
"Meat","Baking Goods","Canned Oysters","Pure Juice Beverages","","","","","","","","","","","","","",""
"Dairy","Specialty","Snack Foods","Jams and Jellies","Vegetables","","","","","","","","","","","","",""
"Breakfast Foods","Candy","Cleaning Supplies","Vegetables","","","","","","","","","","","","","",""
"Meat","Canned Soup","Cold Remedies","Canned Anchovies","","","","","","","","","","","","","",""
"Kitchen Products","Paper Products","Eggs","Baking Goods","Vegetables","Specialty","Bread","","","","","","","","","","",""
"Miscellaneous","Dairy","Breakfast Foods","","","","","","","","","","","","","","",""
"Frozen Desserts","Vegetables","","","","","","","","","","","","","","","",""
"Specialty","Candy","Plastic Products","Vegetables","Electrical","Dairy","Pain Relievers","","","","","","","","","","",""
"Baking Goods","","","","","","","","","","","","","","","","",""
"Baking Goods","Dairy","Canned Soup","Vegetables","Breakfast Foods","","","","","","","","","","","","",""
"Pain Relievers","Snack Foods","Plastic Products","","","","","","","","","","","","","","",""
"Beer and Wine","","","","","","","","","","","","","","","","",""
"Candy","Electrical","Breakfast Foods","","","","","","","","","","","","","","",""
"Vegetables","Dairy","","","","","","","","","","","","","","","",""
"Baking Goods","Breakfast Foods","Frozen Desserts","Pure Juice Beverages","Fruit","Snack Foods","Paper Products","","","","","","","","","","",""
"Dairy","Hot Beverages","Baking Goods","Jams and Jellies","","","","","","","","","","","","","",""
"Electrical","Bathroom Products","Vegetables","Cold Remedies","Hardware","","","","","","","","","","","","",""
"Magazines","Canned Oysters","Snack Foods","Beer and Wine","","","","","","","","","","","","","",""
"Vegetables","Dairy","Paper Products","","","","","","","","","","","","","","",""
"Hygiene","Vegetables","Breakfast Foods","Bread","Pizza","Snack Foods","","","","","","","","","","","",""
"Candy","Beer and Wine","Carbonated Beverages","Kitchen Products","","","","","","","","","","","","","",""
"Candy","Dairy","Snack Foods","","","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Baking Goods","Canned Soup","Jams and Jellies","Meat","Snack Foods","Vegetables","","","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Carbonated Beverages","Electrical","Meat","Cleaning Supplies","","","","","","","","","","","",""
"Paper Products","Baking Goods","","","","","","","","","","","","","","","",""
"Cold Remedies","","","","","","","","","","","","","","","","",""
"Dairy","Breakfast Foods","Vegetables","Beer and Wine","Bread","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Canned Soup","Specialty","Frozen Entrees","Electrical","","","","","","","","","","","",""
"Vegetables","Pure Juice Beverages","Pizza","Kitchen Products","Paper Products","Side Dishes","","","","","","","","","","","",""
"Seafood","Frozen Entrees","Vegetables","Hygiene","Decongestants","Fruit","Beer and Wine","","","","","","","","","","",""
"Baking Goods","Snack Foods","Frozen Desserts","Paper Products","","","","","","","","","","","","","",""
"Bread","Vegetables","Hot Beverages","","","","","","","","","","","","","","",""
"Cleaning Supplies","Meat","Vegetables","Snack Foods","","","","","","","","","","","","","",""
"Bread","Snack Foods","","","","","","","","","","","","","","","",""
"Canned Tuna","Dairy","Breakfast Foods","","","","","","","","","","","","","","",""
"Baking Goods","Pain Relievers","Pizza","Jams and Jellies","Bread","Snack Foods","","","","","","","","","","","",""
"Kitchen Products","Jams and Jellies","Fruit","Pain Relievers","Vegetables","Packaged Vegetables","","","","","","","","","","","",""
"Snack Foods","Pure Juice Beverages","Eggs","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Meat","Candy","Eggs","Carbonated Beverages","Dairy","","","","","","","","","","",""
"Paper Products","Bread","Hygiene","Fruit","Canned Soup","Vegetables","","","","","","","","","","","",""
"Candy","Vegetables","Snack Foods","Bread","Bathroom Products","","","","","","","","","","","","",""
"Meat","Dairy","","","","","","","","","","","","","","","",""
"Meat","Jams and Jellies","Snack Foods","Beer and Wine","Frozen Desserts","Baking Goods","Vegetables","","","","","","","","","","",""
"Dairy","Vegetables","Pure Juice Beverages","Canned Sardines","Side Dishes","","","","","","","","","","","","",""
"Meat","Snack Foods","Plastic Products","Vegetables","Starchy Foods","Bread","Side Dishes","","","","","","","","","","",""
"Paper Products","Canned Soup","Bathroom Products","Jams and Jellies","","","","","","","","","","","","","",""
"Jams and Jellies","Beer and Wine","Vegetables","Snack Foods","Paper Products","Canned Anchovies","","","","","","","","","","","",""
"Canned Clams","Dairy","Carbonated Beverages","Vegetables","","","","","","","","","","","","","",""
"Hardware","Eggs","Seafood","Drinks","Snack Foods","Vegetables","Specialty","Canned Soup","","","","","","","","","",""
"Dairy","Vegetables","Bread","Snack Foods","Hardware","Kitchen Products","Magazines","Canned Soup","","","","","","","","","",""
"Snack Foods","Baking Goods","Vegetables","","","","","","","","","","","","","","",""
"Electrical","Carbonated Beverages","Vegetables","Hot Beverages","Fruit","Kitchen Products","","","","","","","","","","","",""
"Magazines","Snack Foods","","","","","","","","","","","","","","","",""
"Vegetables","Hardware","Fruit","","","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","","","","","","","","","","","","","","","",""
"Pain Relievers","Bathroom Products","Canned Soup","Vegetables","","","","","","","","","","","","","",""
"Baking Goods","Bathroom Products","Canned Soup","Snack Foods","Dairy","","","","","","","","","","","","",""
"Beer and Wine","Kitchen Products","Hot Beverages","Jams and Jellies","Snack Foods","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Breakfast Foods","","","","","","","","","","","","","","",""
"Starchy Foods","","","","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Vegetables","Electrical","Jams and Jellies","Pain Relievers","Fruit","Magazines","","","","","","","","","",""
"Hardware","Vegetables","Beer and Wine","Jams and Jellies","Paper Products","","","","","","","","","","","","",""
"Fruit","Canned Soup","Cleaning Supplies","Bathroom Products","Dairy","Bread","","","","","","","","","","","",""
"Decongestants","Eggs","Snack Foods","Vegetables","Cleaning Supplies","Frozen Desserts","","","","","","","","","","","",""
"Carbonated Beverages","Pure Juice Beverages","Meat","Canned Shrimp","","","","","","","","","","","","","",""
"Vegetables","Fruit","Frozen Desserts","Snack Foods","","","","","","","","","","","","","",""
"Cleaning Supplies","Pizza","","","","","","","","","","","","","","","",""
"Frozen Desserts","Hardware","Bathroom Products","Magazines","Frozen Entrees","Carbonated Beverages","","","","","","","","","","","",""
"Vegetables","Dairy","Kitchen Products","Snack Foods","","","","","","","","","","","","","",""
"Dairy","Vegetables","Fruit","Magazines","Breakfast Foods","Bread","Seafood","Snack Foods","","","","","","","","","",""
"Plastic Products","Baking Goods","Seafood","Fruit","Dairy","Snack Foods","Vegetables","Cold Remedies","","","","","","","","","",""
"Candy","Dairy","Starchy Foods","Snack Foods","Drinks","Hot Beverages","","","","","","","","","","","",""
"Jams and Jellies","Plastic Products","Baking Goods","Electrical","","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Kitchen Products","Frozen Desserts","Hardware","Fruit","Vegetables","Canned Anchovies","Canned Soup","Bathroom Products","Dairy","Meat","","","","","",""
"Meat","Bread","Snack Foods","Eggs","Breakfast Foods","Beer and Wine","Baking Goods","","","","","","","","","","",""
"Bread","Snack Foods","Jams and Jellies","Beer and Wine","Starchy Foods","Hot Beverages","Pure Juice Beverages","Bathroom Products","","","","","","","","","",""
"Hot Beverages","Vegetables","Pain Relievers","Dairy","","","","","","","","","","","","","",""
